current_price,change,percent_change,high,low,open,previous_close,timestamp,ticker
24.96,-0.03,-0.12,24.96,24.81,24.85,24.99,2024-11-28 18:00:00,BXBLY
5.14,0.28,5.7613,5.15,5.07,5.08,4.86,2024-11-28 18:00:00,VWDRY
1.4,0.0,0.0,1.4,1.34,1.35,1.4,2024-11-28 18:00:00,SMTGY
24.96,-0.03,-0.12,24.96,24.81,24.85,24.99,2024-11-28 18:00:00,BXBLY
5.14,0.28,5.7613,5.15,5.07,5.08,4.86,2024-11-28 18:00:00,VWDRY
1.4,0.0,0.0,1.4,1.34,1.35,1.4,2024-11-28 18:00:00,SMTGY
8.45,-0.015,-0.1772,8.45,8.45,8.45,8.465,2024-11-29 00:00:00,SMSMY
24.96,-0.03,-0.12,24.96,24.81,24.85,24.99,2024-11-29 00:00:00,BXBLY
5.14,0.28,5.7613,5.15,5.07,5.08,4.86,2024-11-29 00:00:00,VWDRY
1.4,0.0,0.0,1.41,1.34,1.41,1.4,2024-11-29 00:00:00,SMTGY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,TPE
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,NDX1
4.13,-0.175,-4.065,4.58,4.0,4.4,4.305,2024-11-29 00:00:00,BDORY
51.57,1.296,2.5779,51.57,50.75,50.75,50.274,2024-11-29 00:00:00,SBGSY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,CHRH
87.02,1.31,1.5284,87.03,86.11,86.11,85.71,2024-11-30 21:00:00,STN
8.45,-0.015,-0.1772,8.45,8.45,8.45,8.465,2024-11-29 00:00:00,SMSMY
24.96,-0.03,-0.12,24.96,24.81,24.85,24.99,2024-11-29 00:00:00,BXBLY
5.14,0.28,5.7613,5.15,5.07,5.08,4.86,2024-11-29 00:00:00,VWDRY
1.4,0.0,0.0,1.41,1.34,1.41,1.4,2024-11-29 00:00:00,SMTGY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,TPE
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,NDX1
4.13,-0.175,-4.065,4.58,4.0,4.4,4.305,2024-11-29 00:00:00,BDORY
51.57,1.296,2.5779,51.57,50.75,50.75,50.274,2024-11-29 00:00:00,SBGSY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,CHRH
86.81,-0.21,-0.2413,86.81,86.81,86.81,87.02,2024-12-02 14:31:00,STN
8.605,0.155,1.8343,8.605,8.605,8.605,8.45,2024-12-02 00:00:00,SMSMY
24.89,-0.07,-0.2804,25.34,24.53,25.34,24.96,2024-12-02 00:00:00,BXBLY
5.13,-0.01,-0.1946,5.18,5.08,5.16,5.14,2024-12-02 00:00:00,VWDRY
1.34,-0.06,-4.2857,1.34,1.34,1.34,1.4,2024-12-02 00:00:00,SMTGY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,TPE
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,NDX1
4.09,-0.04,-0.9685,4.165,4.06,4.14,4.13,2024-12-02 00:00:00,BDORY
50.93,-0.64,-1.241,51.13,50.27,50.63,51.57,2024-12-02 00:00:00,SBGSY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,CHRH
86.75,-0.27,-0.3103,87.125,86.22,86.81,87.02,2024-12-02 21:00:00,STN
8.605,0.0,0.0,8.605,8.605,8.605,8.605,2024-12-03 00:00:00,SMSMY
25.11,0.22,0.8839,25.18,24.8,24.8,24.89,2024-12-03 00:00:00,BXBLY
5.01,-0.12,-2.3392,5.07,4.97,5.04,5.13,2024-12-03 00:00:00,VWDRY
1.34,0.0,0.0,1.34,1.34,1.34,1.34,2024-12-03 00:00:00,SMTGY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,TPE
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,NDX1
4.16,0.07,1.7115,4.17,4.09,4.11,4.09,2024-12-03 00:00:00,BDORY
51.09,0.16,0.3142,51.38,50.98,51.03,50.93,2024-12-03 00:00:00,SBGSY
0.0,,,0.0,0.0,0.0,0.0,1970-01-01 00:00:00,CHRH
85.6,-0.23,-0.268,85.6,85.6,85.6,85.83,2024-12-04 14:31:00,STN
